school,count
TTGDTX- KTHN H. Thuận An,59
THPT DL Nguyễn Văn Tố,59
TT GDTX Đình Lập,59
TTGDTX Ninh Bình,59
THPT Chuyên Vĩnh Phúc,59
THPT Đại Ngãi,58
THPT Phú Nhuận,58
THPT Xuân Trường C,58
Trường THCS&THPT; Kpă Klơng,58
THPT Hoằng Hoá 4,58
THPT Đăk Ơ,58
THPT Tư thục chất lượng cao Hoàng Xuân Hãn,58
TTGDTX Ninh Thuận,58
Trường THPT Minh Đài,58
THPT  Võ Văn Tần,57
THPT Thành phố Cao Bằng,57
TTGDTX-HN Hải Châu+BTBK+CĐCN,57
Trường phổ thông Dân Tộc Nội Trú THPT tỉnh Trà Vinh,57
THPT Trần Bình Trọng,57
THPT Lâp Vò 3,57
TTGDTX Quận 9,56
PT Dân tộc nội trú,56
TTGDTX  Hương Thủy,56
THPT Kim Bôi,56
THPT A Thanh Liêm,55
TTGDTX Trảng Bàng,55
Trường THPT Yên Châu,54
THPT   Núi Thành,54
THPT Lam Kinh,54
THPT Nho Quan B,54
THPT Ninh Bình Bạc Liêu,54
TT GDTX Ea H'Leo,53
THPT số 3 Bảo Yên,53
THPT Bình Hưng Hòa,53
THPT An Phước,53
TTGDTX Buôn Ma Thuột,52
THPT Dân tộc nội trú,52
Trường THPT Huỳnh Thúc Kháng,52
THPT Phú Hữu,52
THPT Phước Thiền,52
THPT Cửa Ông,51
THPT  Minh Long,51
PT Cấp 2-3 Võ Văn Kiệt,51
THPT Cát Hải,51
THPT Long Thới,51
THPT Ngọc Lặc 3,51
THPT Thạnh Lộc,51
THPT Vĩnh Yên,51
THPT Nguyễn Thông,51
THPT Cái Bè,50
THPTDL Nguyễn Khắc Viện,50
THPT chuyên Hoàng Văn Thụ,50
Trường TC Kỹ thuật - Nghiệp vụ Cái Bè,50
THPT Giồng Ông Tố,50
PT cấp 2-3 Tôn Đức Thắng,50
THCS và THPT An Đông,50
THPT  Ngô Gia Tự,50
TT DN&GDTX; Thủy Nguyên,49
THPT Kiến Văn,49
THPT Nguyễn Văn Côn,49
Trường THPT Phiêng Khoài,49
THPT Khánh Hoà,48
THPT Mùn Chung,48
THPT Nguyễn Siêu,48
Trường THPT Bình Thuận,48
THPT Đồng Phú,48
Cấp 2 -3 Lê Duẩn,48
THPT Nguyễn Dục,48
THPT Thủ Thiêm,48
THPT Tôn Thất Tùng,47
THPT Tống Văn Trân,47
THPT TX Mường Lay,47
THPT Đinh Chương Dương,47
TT HN&GDTX; Đầm Hà,47
Trung cấp kỹ thuật- nghiệp vụ Kiên Giang,47
THPT Kim Sơn C,47
BTVH tại THPT Ngô Gia Tự,47
THPT Lương Văn Can,46
THPT Lý Nhân Tông,46
THPT Quang Trung-Hà Đông,46
THPT DL Cù Chính Lan,46
THPT Ca Văn Thỉnh,46
THPT  Hồng Quang,46
THPT Hàm Thuận Bắc,45
THPT  Lộc Hiệp,45
TTGDTX Hương Trà,45
THPT An Phú,45
THPT Hồng Ngự 3,45
THPT Phan Ngọc Tòng,45
THPT Tân Phước Khánh,45
THPT Chê-Ghêvara,45
THPT Lai Vung 1,45
THPT Cầu Kè,44
THPT Vân Canh,44
THPT Long Hòa,44
THPT DTNT Cao Bằng,44
THPT DTNT Vân Canh,44
THPT Trần Kỳ Phong,44
THPT Bắc Lý,44
THPT Số 1 Tư Nghĩa,44
THPT Lạng Giang 1,44
THPT Đồng Yên,44
"TH, THCS và THPT Ngô Thời Nhiệm",44
THPT Trân Quôc Toản,43
THPT Yên Hoa,43
THPT An Biên,43
TT.GDTX huyện Bình Tân,43
THPT An Mỹ,43
Trường THPT Trung Giáp,43
THPT Tuyên Hóa,43
THPT Trần Hưng Đạo-Hà Đông,42
THPT Rạch Kiến,42
THPT Lâp Vò 1,42
THPT Thạch Thành 1,42
THPT Cầu Ngang B,42
THPT Tứ Kỳ II,42
THPT Yên Lạc,42
THPT   Quế Sơn,42
THPT Như Xuân,42
THPT  Nguyễn Tri Phương,41
THPT Diệp Minh Châu,41
TTGDTX& DN Tam Dương,41
THPT Nguyễn Đổng Chi,41
THPT Châu Thành 2,41
THPT Tương Dương 1,41
THPT Tập Sơn,41
THPT Đăk Mil,41
THPT Văn Lâm,41
THPT Triệu Sơn 4,41
Egame Company,41
THPT Quản Trọng Hoàng,40
Trường THPT Nguyễn Thị Minh Khai,40
TT GDTX-Hướng nghiệp tỉnh Tuyên Quang,40
TTGDTX Quận 8,40
THPT Lộc Thanh,39
TT GDTX-DN-HN Ninh Phước,39
THPT Khánh An,39
THPT Hồng Lam,39
Trường Phổ thông DTNT THPT huyện Tuần Giáo,39
THPT DL Lý Tự Trọng,39
THPT Lưu Hữu Phước,39
THPT Trung Sơn,39
TT GDTX Lý Nhân,39
THPT  Đồ Sơn,39
THPT Cần Đước,39
THPT Hòn Đất,39
PT Liên cấp 2+3 Trấn Yên II,38
THPT Giai Xuân,38
PT Dân tộc nội trú THPT Miền Tây,38
THPT Cần Đăng,38
THPT Huỳnh Hữu Nghĩa,38
THPT Trần Quý Cáp,38
TT GDTX-HNDN Huyện Yên Bình,38
THPT Yên Mô A,38
THPT số 2 Mường Khương,38
TTGDTX Tân Biên,38
THPT Tiên Yên,38
Trường THPT Kĩ thuật Việt Trì,37
THPT B Bình Lục,37
THPT DL Đô Lương 2,37
THPT Hoài Đức B,37
THPT Long Khánh,37
THPT Nguyễn Bính,37
THPT số 3 Bảo Thắng,37
THPT Đồng Xoài,37
THPT Văn Quan,36
THCS-THPT Dân Tộc Nội Trú huyện Trà Cú,36
THPT Triệu Sơn 3,36
TTGDTX Nam đàn,36
Trường THPT Phương Xá,36
THPT BC Trần Cao Vân,36
THPT Tạ Quang Bửu,36
THPT Bình Mỹ,36
THPT Phước Kiển,36
THPT Nam Khoái Châu,36
THPT Nguyễn Trãi-Ba Đình,36
TTGDTX Chu Văn An,35
THPT Tương Dương 2,35
THPT  Nguyễn Thái Bình,35
THPT chuyên Lê Quí Đôn,35
TT GDTX-HN Thanh Khê,35
THPT  Lương Thúc Kỳ,34
THPT Tân Trào,34
THPT Tam Dương  2,34
Trung tâm GDTX Thanh Ba,34
THCS và THPT Tân Phú,34
THPT  Nam Cao,34
THPT DL Trần Hưng Đạo,34
THPT Lê Chân,34
TT GDTX Bình Lục,34
THPT  Lý Tự Trọng,33
TTGDTX Quỳnh Lưu,33
THPT Hòa An,33
THPT Nguyễn Tất  Thành,33
THPT  Trần Cao Vân,33
THPT LÔ MÔ NÔXOP,33
THPT Trung Lập,33
THPT Võ Thị Hồng,33
THPT Nguyễn Hiếu Tự,33
THPT Thạch Bàn,33
THPT Đạ Sar – Lạc Dương,33
THPT Nguyễn Việt Hồng,33
Năng khiêu thê dục thê thao,33
THPT Cầu Quan,33
TTGDTX Tân Châu,32
THPT số 3 Văn Bàn,32
THPT số 4 Văn Bàn,32
Trung tâm GDTX Trà Bồng,32
THPT Tam Dương,32
THPT  Phan Chu Trinh,32
THPT Mèo Vạc,32
THPT Thọ Xuân 5,31
THPT Dương Tự Minh,31
THCS-THPT Trần Quốc Tuấn,31
Trường Hermann Gmeiner,31
TTGDTX Thị xã Sông Công,31
Trường THPT Hạ Hoà,31
THPT Hạ Lang,31
THPT Tây Sơn,31
THPT DTNT Tân Kỳ,31
"Trường Thực Hành Sư Phạm
Trà Vinh",31
THPT Tân Trụ,31
TT GDTX-DN,31
THPT Thanh Chăn,30
THCS THPT Thới Thuận,30
THPT Phú Xuyên A,30
THCS & THPT Khánh Hưng,30
THPT Hậu Lộc 3,30
THPT DT Nội Trú Tỉnh,30
THPT BC Cửa Lò,30
TTGDTX A H. Ý Yên,30
THPT Hương Thủy,29
THPT Phan Văn Hùng,29
THPT Vĩnh Long,29
Trường THPT Thanh Nưa,29
TT GDTX Cư M'Gar,29
THPT Lai Vung 2,29
THPT BC Nguyễn Trường Tộ,29
THPT Sương Nguyệt Anh,29
Trường THPT Quang Trung,29
THPT An Thạnh 3,29
Trường PTDT Nội trú Krông Nô,29
THPT Thủy Sơn,28
Trung tâm GDTX Châu Thành,28
TTGDTX Bến Cầu,28
THPT Thành phô Sa Đéc,28
Trường THPT Quế Lâm,28
TTGDTX Hoài Đức,28
THPT Nội trú Đắk Lấp,28
THPT Lê Hữu Trác II,28
THPT Cao Bá Quát-Gia Lâm,28
THPT Quế Võ 3,28
THPT Nam Sài gòn,28
THPT Dân Lập Yersin -Đà Lạt,28
TTGDTX Quận Phú Nhuận,28
THPT Lý Sơn,27
Trường THPT Thảo Nguyên,27
TT GDTX,27
TTGDTX Thị xã Quảng Trị,27
TCKT&NV; Nam Sài Gòn,27
THPT Chúc Động,27
TT GDTX H. Đắk Hà,27
Trường Trung học phổ thông Nghĩa Dân,27
THPT Phan Liêm,27
THPT Diên Hồng,27
THPT Dân tộc nội trú tỉnh,27
THPT số 2 Tp Lào Cai,27
THPT Ngân Sơn,27
Trường Phổ thông DTNT THPT huyện Mường Ảng,26
Trường THPT Trần Hưng Đạo,26
TTGDTX Huyện Châu Thành A,26
Trường THPT Phan Bội Châu,26
THPT Thừa Lưu,26
THPT Đức Huệ,25
THPT Dân lập  Duy Tân,25
THPT Yên Thành 3,25
THPT Gia Viễn A,25
Trường THPT Lương Hòa A,25
THPT Vĩnh Kim,25
THPT dân lập Lương Thế Vinh,25
THPT Lý Bôn,25
TTGDTX Nam Đông,25
THPT TX Hưng Yên,24
Phổ thông Năng khiếu ĐHQG-HCM,24
THPT  Hạ Long,24
THPT Lang Biang,24
THPT Mường Ảng,24
PTDTNT Nam Trà My,24
THCS và THPT Đường Hoa Cương,24
TT Dạy nghề và GDTX Bát Xát,24
THPT Kim Động,24
THPT Chuyên tỉnh Lào Cai,23
THPT Trần Văn Năng,23
THPT Trung Giã,23
THCS và THPT Nhân Văn,23
THPT Giồng Thị Đam,23
THPT Khoái Châu,23
THPT Thọ Xuân 4,23
THPT Long Mỹ,23
THPT số 1 Văn Bàn,23
THPT Đức Linh,23
THCS & THPT Long Hựu Đông,23
THPT Chuyên Hà Tĩnh,23
THPTThực hành/ĐHSP,22
THPT số 1 Bắc Hà,22
Trung tâm GDTX Sơn Hà,22
THPT Vũ Quang,22
THPT Sóc Sơn,22
TTHNGDTX Đông Triều,22
TTGDTX Đông Hiếu,22
THPT Hoàng Thái Hiếu,21
Trường THPT Đoan Hùng,21
THPT Thạnh Hóa,21
THPT Mỹ Hòa Hưng,21
THPT Phan Thiết,21
THPT Hòa Lợi,21
THPT Tân Hồng,21
THPT Thủ Thừa,21
THPT Phước Vĩnh,21
Trường THPT Tam Nông,21
THPT Thanh Tuyền,21
THCS - THPT Bắc Sơn,21
THPT Tà Nung-Đà Lạt,20
THPT Can Lộc,20
THCS và THPT Trung Hóa,20
THPT 19/5,20
THPT Hàm Nghi,20
Trung tâm GDTX- DN huyện Tiểu Cần,20
THPT DTNT Konplong,20
TT GDTX Lạc Thuỷ,20
THPT Nam Phù Cừ,20
TT DN - HN - GDTX  Hương Sơn,20
THPT Nguyễn Đình    Chiểu,20
Trung tâm GDTX thành phố Bến Tre,20
THPT Đồng Hới,20
THPT Thạch Thành 3,20
THPT Mỹ Hương,20
THPT Bảo Lạc,20
TTGDTX Vinh,20
THPT Lê Văn Tám,20
Trung tâm GDTX huyện Vũ Thư,20
THPT Lê Hoài Đôn,20
THPT Nhị Trường,20
TTGDTX&DN; Thị xã Phúc Yên,19
TT GDTX-HN Phù Cát,19
THPT Thanh Hòa,19
THPT Thanh Bình 2,19
THPT Nhị Chiểu,19
THPT Chuyên Hà Nội-Amsterdam,19
THPT Thạnh An,19
THCS & THPT Mỹ Quý,19
THPT Hiếu Phụng,19
TTGDTX Triệu Phong,19
THPT Nguyễn Thị Diệu,19
THCS-THPT Hồng Hà,19
THPT   Huỳnh Thúc Kháng,19
THPT Chuyên Lương Thế Vinh,19
TTGDTX Quận 2,19
THPT Ba Chẽ,19
THPT Pác Khuông,19
THPT Tam Đảo 2,19
THPT DTNT Nơ Trang Lơng,19
THPT Tư thục Lê Quý Đôn,19
THPT Nam Duyên Hà,19
THPT Chuyên Nguyễn Bỉnh Khiêm,19
"Trường Cấp 2,3 Đồng Tiến",18
THPT Phan Đình Giót,18
TT GDTX-HN Liên Chiểu,18
THPT Hương Giang,18
THPT MARIE CURIE,18
THPT Nhơn Trạch,18
Trường THPT Phù Yên,18
THPT Hoà An,18
THPT Sóc Trăng,18
THPT Đức Hợp,18
TT GDTX 1 tỉnh,18
THPT Marie-Curie,18
Trường THPT Đồng Đăng,18
TTGDTX Thanh Chương,18
THPT  Nguyễn Công Trứ,17
THPT Phúc Trạch,17
THPT Long Hữu,17
TTHNGDTX  Cẩm Phả,17
TTKT-TH-HN-DN&GDTX; tỉnh,17
THPT Nguyễn Duy THì,17
Trường THPT Nguyễn Bỉnh Khiêm,17
Trường Tư thục Trung tiểu học Đức Trí,17
THPT Thái Thanh Hoà,17
Trung tâm GDTX-HNDN huyện Trà Cú,17
THPT Đoàn Thượng,17
TH-THCS-THPT Mỹ Việt,17
PT dân tộc nội trú huyện Phước Sơn,17
THPT Ngọc Hồi,17
THPT Bảo Lâm,16
TT GDTX-HN Hòa Vang,16
PTPT  Phan Chu Trinh,16
THPT Trại Cau,16
THPT Nông Cống 2,16
THPT   Tiểu La,15
THPT Hoàng Văn  Thụ,15
THPT Phú Lương,15
THPT Lâm Hà,15
PT DTNT huyện Phong Thổ,15
Trung Tâm GDTX-DN huyện Duyên Hải,15
THPT Thanh Bình,15
THPT Tĩnh Gia 2,15
THPT chuyên tỉnh Hưng Yên,15
THPT B Thanh Liêm,15
THPT Nguyễn Đáng,15
THCS và THPT Nguyễn Khuyến,15
TT GDTX tỉnh Bắc Ninh,15
THPT Lưu Đình Chất,15
TTGDTX Tỉnh Tây Ninh,15
Trường THPT Mỹ Văn,15
THPT Quang Trung-Đống Đa,15
TTGDTX  Phú Vang,15
THPT Gia Định,15
THPT Như Thanh 2,15
THPT An Ninh,15
THPT Yên Lạc 2,14
THPT Tư thục Việt Yên,14
TT DN&GDTX; Hồng Bàng,14
THPT Xuân Trường B,14
TT Dạy nghề và GDTX Văn Bàn,14
THPT Yên Định 1,14
THPT Ngô Văn Nhạc,14
THPT Nguyễn Đức Cảnh,14
Trung tâm GDTX Yên Lập,14
THPT Phúc Yên,14
Chuyên Toán ĐH Vinh,14
Trung tâm Giáo dục thường xuyên Bảo Lâm,14
TTDN-GDTX Phú Tân,14
TTGDTX Quận 4,14
THPT Gò Vấp,14
THPT H. Điện Biên,14
THPT Yên Hân,14
TT GDTX Tràng Định,14
THPT Bình Long,13
THPT Tân Thành,13
THPT Phú Xuyên B,13
PT DTNT Tiên Yên,13
THPT Cao Bá Quát,13
TT Dạy nghề và GDTX Bảo Thắng,13
THPT Dân lập Đông Sơn,13
Trường THPT Trung Nghĩa,13
TTGDTX Kỳ Sơn,13
THPT Xín Mần,13
TTGDTX Thị xã Bình Minh,13
THPT Ea H'leo,13
TTGDTX Quỳ Châu,13
THPT Gia Lộc,13
THPT Krông Ana,13
THPT Hồng Ngự 2,13
TT Dạy nghề và GDTX Si Ma Cai,13
Trường THPT Tử Đà,13
THPT Nam Hải Lăng,13
THCS & THPT Long Cang,13
THPT Quảng Oai,13
THPT Trịnh Hoài Đức,13
THPT GDTX Lệ Thủy,13
THPT Đoàn Kết-Hai Bà Trưng,13
Trường THPT Bán Công Thanh Sơn,12
THPT Kháng Nhật,12
THPT Bán công Phạm Quang Thẩm,12
THPT Mỹ Đức A,12
THPT Số 2 Bát Xát,12
TT GDTX -HNDN Thành phố Hà Tĩnh,12
THPT DL Trương Định,12
THPT Yên Hưng,12
THPT Gia Nghĩa,12
Trung tâm DN - HN - GDTX Hồng Lĩnh,12
THPT Đinh Tiên Hoàng,12
THPT Phan Bội Châu - Tuyên Hóa,12
TTGDTX tỉnh Hà Tĩnh,12
TT GDTX Văn Quan,12
THPT Phạm  Văn Đồng,12
Trung tâm Giáo dục thường xuyên Ba Vì,12
THPT DL Nguyễn Huệ,12
TTGDTX Phong Điền,11
TTGDTX- KTHN H. Dầu Tiếng,11
TT DN&GDTX; Tiên Lãng,11
THPT Tràng Định,11
Phòng GDCN Sở GD-ĐT TT-Huế,11
THPT Ngô Thì Nhậm,11
THPT Đinh Tiên Hoàng-Ba Đình,11
TT DN&GDTX; Ngô Quyền,11
THPT An Dương Vương,11
THPT Tam Ngãi,11
THPT DTNT Sa Thầy,11
TT GDTX thị xã Ngã Bảy,11
THPT Đôn Châu,11
THPT Đại Mỗ,11
THPT Ân Thi,11
THPT Lang Chánh,11
TTGDTX Quế Phong,11
TT GDTX-DN-HN Ninh Sơn,11
THPT Nam Hà,11
THPT Trần Hưng Đạo-Thanh Xuân,11
PTDT nội trú THCS và THPT H.Bắc Hà,10
THPT Nông Cống 1,10
PT Cấp 2-3  Võ Thị Sáu,10
THPT Tiên Hưng,10
THPT Hà Bắc,10
THPT Bắc Mê,10
THPT Dương Quảng Hàm,10
THPT  Bắc Sơn,10
THPT  Hoàng Quốc Việt,10
THPT Đa Kia,10
TT GDTX TP Thái Nguyên,10
THPT Thông Nông,10
THPT Đỗ Công Tường,10
TTGDTX Thành phố Vị Thanh,10
THPT Thuận Thành 2,10
THPT Minh Khai,10
THPT Nà Phặc,10
THPT Hiệp Hoà 1,10
THPT Quyết Thắng,10
THPT DL Can Lộc,10
Trung tâm GDTX-HN Thanh Sơn,10
THPT Mỹ Lộc,10
THPT chuyên Hùng Vương,9
Phổ thông Dân tộc nội trú,9
THPT Trần Xuân Soạn,9
TTGDTX Quận 1,9
THPT Phố Mới,9
THPT Chương Mỹ B,9
THPT Bán Công Đồng Hới,9
GDTX Ba Đình,9
THPT Bình Đông,9
THPT Thông Nguyên,9
Trường THPT Chu Văn An,9
THPT Vạn Tường,9
THPT Cái Nước,9
THPT Dưỡng Điềm,9
THPT Trung An,9
THPT Trần Đăng Ninh,9
TTGDTX Trần Hưng Đạo,9
THPT Trường Long Tây,9
THPT Tân Phú Trung,9
THPT Nguyễn Gia Thiều,9
THPT Gia Lộc II,9
THPT Bá́ Thước,9
THPT Nguyễn Huệ - Di Linh,9
THPT Dầu Giây,9
THPT Bố Hạ,9
THPT Hòa Hưng,9
THPT Nam Trà My,9
TT GDTX thành phố HB,9
TT DN&GDTX; Hải An,9
THPT Đăng Hà,9
THPT Thu Xà,9
THPT Nguyễn Đăng Đạo,9
TT GDTX Từ Sơn,9
THPT Nội trú Đắk Mil,9
THPT Hàm Giang,9
THPT số 1 Quảng Trạch,8
THPT Tân Phước,8
THPT Tư Thục Nguyễn Du,8
THPT Phú Lộc,8
THPT Bình Thanh,8
TTGDTX Vũ Quang,8
THPT Nội trú Cư Jút,8
THPT Chương Mỹ A,8
THPT Số 2 Tư Nghĩa,8
TT. GDTX-HN Hiệp Đức,8
THPT DL Ngô Trí Hoà,8
THPT An Dương,8
THPT Mường Kim,8
Trung tâm GDTX-HNDN thành phố Trà Vinh,8
TT Dạy nghề và GDTX TP Lào Cai,8
TT GDTX Ninh Hoà,8
THPT Tây Hiếu Nghĩa Đàn,8
THPT Chuyên Thái Bình,8
THPT Nguyễn Đức Thuận,8
THPT Cam Lộ,8
Trung tâm GDTX – DN huyện Càng Long,8
TT.GDTX&KTTH-HN; Thủ Thừa,8
THPT Thăng Long -Lâm Hà,8
THPT Số 1 Đức Phổ,8
TT GDTX Bù Đốp,8
PT Cấp 2-3 Tân Quang,8
TT GDTX huyện Ngọc Hồi,8
THCS-THPT Lê Thánh Tông,8
THPT  Vĩnh Linh,8
THPT BC Nguyễn Công Trứ,8
THPT Thường Xuân 2,8
TT.GDTX&KTTH-HN; Vĩnh Hưng,8
TT DN&GDTX; Q.Dương Kinh,8
Trường Văn hóa 3 - Bộ Công an,8
THCS-THPT Nguyễn Bình,8
THPT Triệu Thái,8
THPT Vĩnh Xương,8
THPT Phùng Hưng,8
THPT Lộc Ninh,8
THPT Đông Sơn 2,8
THPT số 3 Quảng Trạch,8
THPT Lịch Hội Thượng,8
THPT Lâm Bình,8
Trường THPT Lương Văn Cù,8
TTGDTX  HN Chợ Gạo,8
THCS-THPT Huỳnh Văn nghệ,8
THPT đội Cấn,7
THPT Châu Phú,7
THPT Phú Xuân,7
TT. GDTX-HN  Duy Xuyên,7
THPT Lê Lợi -Đơn Dương,7
TT. GDTX-HN Bắc Trà My,7
THPT Ba Chúc,7
"Trường Cấp 2,3 Nguyễn Bỉnh Khiêm",7
THPT Nguyễn Lương Bằng,7
THPT Buôn Đôn,7
Trường THPT Bán Công Công nghiệp Việt Trì,7
THPT Quan Sơn,7
THPT Dân tộc nội trú Ninh Thuận,7
THPT Bán công Bình Đại,7
THPT Nguyễn Thiện Thuật,7
THPT số 1 Bảo Thắng,7
THPT Lê Quý Đôn-Đống Đa,7
TTGDTX H. Hóc Môn,7
THPT Xuân Mỹ,7
THPT số 1 Tp Lào Cai,7
THPT Đồng Hỷ,7
THPT Hồng Lĩnh,7
THPT Nội trú Đắk Glong,7
TT GDTX Tỉnh,7
THPT Mê Linh,7
THPT NK TDTT,7
THPT Bán Công Thị Xã,7
TTGDTX Trùng Khánh,7
THPT Thực hành Cao Nguyên,7
THPT DL Quang Trung,7
TTGDTX Ô Môn,7
THPT Bình Chánh,7
Trung tâm GDTX–HN Đoan Hùng,7
THPT Mường So,7
THPT Hưng Nhân,7
THPT Gia Bình 3,7
Trường THPT Mường Giôn,7
TTGDTX Yên Thành,7
THPT Hàm Long,7
TTGDTX Nghi Lộc,7
THPT Văn Lang,7
THCS&THPT; Nguyễn Viết Xuân,7
THPT Ngô Thì Sỹ,7
TT. GDTX-HN  Điện Bàn,7
PTDT Nội trú Nước Oa,7
Trường TC Nghề Khu vực Gò Công,6
THPT Đoàn Kết,6
THPT DL Bắc Quỳnh Lưu,6
TTGDTX Thốt Nốt,6
THPT Hoa Lư A,6
GDTX Sóc Sơn,6
THPT DTNT tỉnh,6
THPT Đạ Tông,6
THPT Triệu Sơn 2,6
THPT Thường Tín,6
THPT Bá́ Thước 3,6
THPT Thạch Yên,6
THPT Trần Quốc Toản,6
Trường THPT Nguyễn Huệ,6
THPT Bàu Bàng,6
"THPT Trần Quốc Tuấn, Đồng Hỷ",6
TT GDTX Tỉnh Nam Định,6
TTGDTX Hải Lăng,6
TT Dạy nghề - GDTX Hồng Ngự,6
THPT Nguyễn Tri Phương,6
THPT Tĩnh Gia 3,6
TT GDTX Tiên Du,6
THPT Thạch Thành 2,6
THPT Bắc Đông Quan,6
TT DN - HN - GDTX Thạch Hà,6
THPT Chuyên Trần Hưng Đạo,6
THPT Nam Lương Sơn,6
THPT Ba Tơ,6
THPT Đông Hưng Hà,6
Trường THPT Long Châu Sa,6
THPT Châu á Thái Bình Dương,6
THPT Châu Thành A,6
THCS-THPT Hoành Mô,6
THPT Gio Linh,6
THPT BC Lương Thế Vinh,6
THPT Yên Dũng 3,6
THPT Thới Bình,6
THPT Số 2 Mộ Đức,6
Trung Tâm GDTX Tỉnh,6
THPT Yên Mỹ,6
TTGDTX Đakrông,6
THPT Xuân Khanh,6
TTGDTX H. Lạng Giang,6
Phổ thông Vùng Cao Việt Bắc,6
THPT Nguyễn Du-Thanh Oai,6
TTGDTX Gia Định,6
THPT  Lê Thành Phương,5
TTGDTX Huyện Vị Thuỷ,5
TT DN - HN - GDTX Nghi Xuân,5
THPT NKTDTT Nguyễn Thị Định,5
TT GDTX tỉnh Thái Nguyên,5
THCS&THPT; Nguyễn Tất Thành,5
Hữu Nghị 80,5
THCS và THPT huyện Bát Xát,5
THPT Nhữ Văn Lan,5
THPT Dân Tộc Nội Trú,5
THPT Mỹ Tho,5
Khối chuyên ĐHKH Huế,5
TTGDTX H. Củ Chi,5
Trường THPT Mường La,5
TT GDTX -HNDN  Thành phố Yên Bái,5
THPT Quách Văn Phẩm,5
THPT Chuyên  Lương Văn Chánh,5
THCS và THPT Trường Xuân,5
THPT Chuyên Ngữ ĐH Ngoại ngữ,5
TT Dạy nghề và GDTX Bắc Hà,5
THPT Dân lập Đồi Ngô,5
TT GDTX Lương Tài,5
THPT BC Châu Thành A,5
THPT Vinschool,5
THPT Đông Hà,5
THPT Phú Tâm,5
THPT Đa Phúc,5
THPT An Minh,5
TT DN - HN - GDTX Can Lộc,5
TTGDTX Quận Bình Tân,5
Trường THPT Cò Nòi,5
THPT Sầm Sơn,5
Trường THPT Tây Tiền Hải,5
THPT Lê Minh Xuân,5
THPT Mỹ Quý,5
THPT Yên Khánh B,5
THPT NguyễnTất Thành,5
THPT   Quang Trung,5
TT GDTX Lộc Bình,5
THPT Hữu Lũng,5
THPT Mai Kính,5
THPT  Lê Lợi,5
THPT Mường Lát,5
THPT Nguyễn Thị Định,5
THPT  Trần Văn Dư,5
THPT Kiên Lương,5
THPT Tĩnh Gia 5,5
THPT Huỳnh Phi Hùng,5
THPT Thái Bình Dương,5
TT KTTHHN Lê T H Gấm,5
THPT An Phúc,5
THPT Ái  Quốc,5
GDTX Mê Linh,5
THPT DTNT Ngọc Hồi,5
THPT Quang Hà,5
Trường Dân lập Phù Đổng,5
PTDT Nội Trú,5
TTGDTX Tam Điệp,5
THPT Chơn Thành,5
TT. GDTX-HN  Núi Thành,5
THPT Số 1 Si Ma Cai,5
TT GDTX-HN Tánh Linh,5
THPT Nho Quan A,5
THPT Lương Tâm,5
THPT Số 2 Đakrông,5
THPT Tân Yên 2,5
THPT BC Nguyễn Huệ,5
THPT Bến Tắm,5
TT.GDTX&KTTH-HN; Đức Hoà,5
THPT Đồng Tâm,5
THPT Long Hải - Phước tỉnh,5
THPT Lục Ngạn 2,5
TT. GDTX Mỹ Luông,5
THPT Phú Quốc,4
THPT Tenlơman,4
THPT Tân Lâm,4
THPT Đông Quan,4
THCS & THPT Long Thượng,4
THPT  Trần Quốc Tuấn,4
TH-THCS-THPT quốc tế Canada,4
THPT Ischool Rạch Giá,4
THPT Dân lập Thái Đào,4
THPT Thái Ninh,4
CĐN Kỹ thuật Công nghệ LADEC,4
THPT Tô Hiệu,4
THPT   Khâm Đức,4
Trường  THPT Cát Tiên,4
GDTX&DN; Cầu Giấy,4
THPT Giao Thuỷ B,4
THPT Bắc Lương Sơn,4
THPT Thiên Đức,4
Trường THPT Lâm Thao,4
TTGDTX Quận Thủ Đức,4
TTGDTX H. Bình Chánh,4
TT. GDTX Châu Đốc,4
THPT FPT,4
THPT  Nguyễn Thị Minh Khai,4
THPT Tây Đô,4
Trung tâm GDTX huyện Quỳnh Nhai,4
TT GDTX Bình Gia,4
THPT Xuân Lộc,4
TTGDTX H. Cần Giờ,4
THPT Lê Hoàn,4
TT DN&GDTX; Kiến An,4
THPT Hòa Minh,4
TTGDTX H. Phú Lương,4
THPT Định Quán,4
TTGDTX H. Nhà Bè,4
THPT Yên Viên,4
THPT An Nhơn Tây,4
THPT Chuyên Đại học Sư phạm,4
TH-THCS và THPT Hoà Bình,4
TC Phật Học Huế,4
PT DTNT cấp 2-3 Yên Minh,4
TTGDTX Giao Thuỷ,4
THPT Trần Hữu Trang,4
THPT TT Quang Trung,4
Trung THPT Lục Ngạn số 4,4
Trung tâm GDTX Bình  Đại,4
Trường THPT Nguyễn Văn Cừ,4
THPT Ischool,4
THPT Tân Lược,4
THPT Hồ Xuân Hương,4
TC Kinh tế - Kỹ thuật Tây Ninh,4
THPT DL Hà Nội,4
THPT Nam Trực,4
THPT Tân Phong,4
THCS & THPT Tân Thạnh,4
Trung tâm GDTX-HN tỉnh Quảng Ngãi,4
THPT  Cao Bá Quát,4
THPT Long Phước,4
THPT Lương Sơn,4
THPT  Trần Văn Hoài,4
THPT Thanh Miện III,4
THPT Hòa Ninh,4
THPT Na Dương,4
THPT Đạ Tẻh,4
THPT Sông Đốc,4
THPT Ngọc Tố,4
