school,count
THPT Lệ Thủy,528
THPT Quảng Hà,528
THPT Nguyễn Bỉnh Khiêm,528
THPT Trần Quang Khải,527
THPT DTNT Kontum,527
THPT Xuân Huy,527
Trường Phổ thông Dân tộc nội trú THPT tỉnh Tuyên Quang,523
THPT Nguyễn Sinh Cung,523
THPT   Nông Sơn,521
THPT Phổ Yên,521
THPT Uông Bí,521
THPT Đông Hiếu,518
THPT Chuyên Nguyễn Chí Thanh,517
Trường THPT Việt Trì,515
THPT Phong Điền,515
THPT-DL Nguyễn Thiện Thuật,511
THPT  Chu Văn An,506
THPT Hương Trà,506
THPT Trần Hưng Đạo - Lệ Thủy,501
THPT Hòn Gai,500
THPT Võ Thị Sáu,498
THPT Nguyễn Minh Quang,497
THPT Trần Văn Kỷ,497
THPT Số 2 Phù Cát,497
THPT Nghi Lộc 3,496
THPT Diễn Châu 4,494
Trường THPT Vũ Thê Lang,493
THPT Trần Nhân Tông,492
THPT chuyên Lê Hồng Phong,490
THPT Phan Thành Tài,489
THPT Phan Bội Châu,487
THPT Bắc Sơn,485
THPT Sơn Nam,482
THPT Cẩm Lý,482
THPT Nghi Lộc 4,481
Trường THPT Hoàng Hoa Thám,480
THPT Tân Kỳ 3,479
THPT Lê Lợi,478
THPT BC Chu Văn An,477
THPT Đô Lương 3,474
THPT Phan Văn Trị,471
THPT Cư M'Gar,470
THPT Chuyên Hạ Long,461
THPT Nam Đông,460
THPT Đặng Thúc Hứa,457
THPT Trung Văn,457
THPT Bùi  Hữu Nghĩa,455
THPT Cẩm Thuỷ 3,452
THPT Nguyễn Trí Thanh,448
THPT Tố Hữu,447
THPT Cẩm Giàng,447
THPT Bình Thạnh,443
THPT Chuyên,440
THPT Chuyên Trần Phú,439
THPT Số 2 Tuy phước,438
THPT Việt Bắc,435
THPT số 2 Bảo Thắng,434
THPT Trần Phú -Đà Lạt,433
THPT Kỳ Anh,433
THPT Hòa Bình,432
THPT Chợ Gạo,432
THPT Cẩm Thuỷ 1,430
THPT Nguễn Trung Trực,428
THPT  Trảng Bàng,427
THPT Huỳnh Văn Nghệ,424
THPT Châu Thành,422
THPT Nho Quan C,421
THPT   Nam Giang,421
THPT Quốc Thái,420
THPT Chuyên Biên Hòa,412
THPT  Trần Suyền,412
THPT Minh Hóa,412
THPT Phong Phú,411
THPT Ngô Mây,408
THPT chuyên Lê Thánh Tông,407
THPT Hoàng Quốc Việt,406
THPT Nghi Lộc 1,406
THPT Quỳnh Lưu 3,406
THPT DL Nguyễn Trường Tộ,402
THPT Tân Phú,400
THPT B Hải Hậu,399
THPT Đinh Bạt Tụy,399
THPT Đan Phượng,396
THPT Nguyễn Thái Học,395
THPT Phan Chu Trinh,395
THPT Quế Phong,393
THPT Thới Long,389
THPT DTNT Đắk Hà,389
THPT Đốc Binh Kiều,388
THPT Xuân Hòa,386
THPT Hà Trung,382
THPT Tán Kế,382
THPT  Nguyễn Văn Thìn,381
THPT Đồng Bành,381
THPT Dân tộc Nội trú Tỉnh,380
THPT Long Khánh A,379
THPT Gò Công,379
THPT Nguyễn An Ninh,376
THPT Hàm Thuận Nam,374
THPT Cần Thạnh,370
THPT TRUNG VĂN,368
TTGDTX H. Yên Dũng,367
THPT B Kim Bảng,366
THPT Thanh Chương 1,364
THPT công lập Thành Sen,363
THPT Kim Liên,363
THPT  Phan Bội Châu,360
THPT ỷ La,359
THPT Đống Đa,358
THPT DTNT Tỉnh 1,354
TT GDTX Nam Sách,353
THPT Đồng Lộc,351
THPT Chuyên TG,351
THPT Chuyên tỉnh Tuyên Quang,350
THPT Bình Điền,349
THPT Quốc học,348
TTGDTX Mỹ Tho,346
THPT Ngũ Hành Sơn,342
THPT Đức Hòa,342
THPT Vĩnh Lộc,341
THPT Cao Lộc,341
THPT Cầu Giấy,337
THPT Krông Nô,335
THPT Nguyễn Hùng Sơn,334
THPT Bình Yên,332
THPT An Lão,331
TT GDTX - HN - DN Chí Linh,331
TT GDTX Thanh Hà,330
THPT Ninh Châu - Quảng Ninh,329
THPT Hưng Đạo,327
THPT Cẩm Lệ,326
THPT Chuyên Vị Thanh,325
PT Dân tộc Nội trú tỉnh TN,325
THPT Nguyễn Đức Mậu,324
THPT Võ Trường Toản,324
THPT Hồng Quang,322
THPT Hương Khê,321
Trung tâm GDTX Mỏ Cày Bắc,320
THPT số 2 Bố Trạch,319
THPT Vĩnh Thạnh,318
THPT Thanh Oai B,316
THPT Yên Ninh,314
THCS & THPT Bình Thạnh Trung,313
"THPT Trần Phú ,  Võ Nhai",312
THPT Quy Nhơn,308
THPT Long Hiệp,306
THPT Đông Thọ,305
THPT Nguyễn Thị Bích Châu,304
THPT Quảng Xương 4,304
THPT  Kontum,304
THPT Giao Thuỷ A,303
Trường THPT Ngã Năm,302
THPT BC Thanh Chương + TTGDTX Thanh Chương,301
THPT Thủ Khoa Huân,300
THPT  Ischool,297
THPT Liên chiểu,296
THPT  Nguyễn Khuyến,291
THPT Đô Lương 4,291
THPT Như Thanh,289
THPT DL Sào Nam,289
THPT Vũ Văn Hiếu,286
THPT Hàn Thuyên,283
THPT Tịnh Biên,282
THPT Hàng Hải,282
THPT Trần Quang Diệu,282
THPT Nam Lý,281
THPT Phước Thạnh,278
THPT Số 1 Phù Mỹ,278
THPT Ngô Văn Cấn,275
THPT DTNT Tỉnh 2,275
THPT  Đặng Trần Côn,275
THPT Trương Định,274
THPT Đô Lương 1,274
THPT Bắc Kiến Xương,273
